fdir,label,time_in_sec,sr
train/id00116/9pGUXstaf1Q/00001.m4a,id00116,4.544,16000
train/id00116/9pGUXstaf1Q/00002.m4a,id00116,5.056,16000
train/id00116/9pGUXstaf1Q/00003.m4a,id00116,4.032,16000
train/id00116/9pGUXstaf1Q/00004.m4a,id00116,4.096,16000
train/id00116/9pGUXstaf1Q/00005.m4a,id00116,12.16,16000
train/id00116/9pGUXstaf1Q/00006.m4a,id00116,4.224,16000
train/id00116/9pGUXstaf1Q/00007.m4a,id00116,5.76,16000
train/id00116/9pGUXstaf1Q/00008.m4a,id00116,4.608,16000
train/id00116/9pGUXstaf1Q/00009.m4a,id00116,7.616,16000
train/id00116/Ih4I2H4atXA/00010.m4a,id00116,3.968,16000
train/id00116/Ih4I2H4atXA/00011.m4a,id00116,4.096,16000
train/id00116/KJh8cDhEf1I/00012.m4a,id00116,4.736,16000
train/id00116/kU4VOloWfSM/00022.m4a,id00116,5.184,16000
train/id00116/kU4VOloWfSM/00023.m4a,id00116,4.096,16000
train/id00116/kU4VOloWfSM/00024.m4a,id00116,4.096,16000
train/id00116/kU4VOloWfSM/00025.m4a,id00116,5.248,16000
train/id00116/kU4VOloWfSM/00026.m4a,id00116,5.824,16000
train/id00116/kU4VOloWfSM/00027.m4a,id00116,3.968,16000
train/id00116/kU4VOloWfSM/00028.m4a,id00116,4.928,16000
train/id00116/kU4VOloWfSM/00029.m4a,id00116,4.416,16000
train/id00116/kU4VOloWfSM/00030.m4a,id00116,6.976,16000
train/id00116/kU4VOloWfSM/00031.m4a,id00116,4.352,16000
train/id00116/kU4VOloWfSM/00032.m4a,id00116,6.016,16000
train/id00116/kU4VOloWfSM/00033.m4a,id00116,5.952,16000
train/id00116/M7b-3w3g2ss/00013.m4a,id00116,6.336,16000
train/id00116/M7b-3w3g2ss/00014.m4a,id00116,20.544,16000
train/id00116/M7b-3w3g2ss/00015.m4a,id00116,6.464,16000
train/id00116/M7b-3w3g2ss/00016.m4a,id00116,4.416,16000
train/id00116/N9Ll-O0EUYs/00017.m4a,id00116,4.544,16000
train/id00116/nFGp9tTDk6s/00034.m4a,id00116,12.736,16000
train/id00116/nFGp9tTDk6s/00035.m4a,id00116,8.064,16000
train/id00116/OJ5KVsgeWSM/00018.m4a,id00116,5.696,16000
train/id00116/OJ5KVsgeWSM/00019.m4a,id00116,6.016,16000
train/id00116/UmkgH-xbnbY/00020.m4a,id00116,6.208,16000
train/id00116/WcYr-VBfq-0/00021.m4a,id00116,5.632,16000
train/id00116/x3YTBRR-96g/00036.m4a,id00116,4.416,16000
train/id00116/x3YTBRR-96g/00037.m4a,id00116,6.4,16000
train/id00155/1FcFbeC42No/00001.m4a,id00155,4.736,16000
train/id00155/1FcFbeC42No/00002.m4a,id00155,4.416,16000
train/id00155/1FcFbeC42No/00003.m4a,id00155,8.064,16000
train/id00155/1FcFbeC42No/00004.m4a,id00155,5.248,16000
train/id00155/1FcFbeC42No/00005.m4a,id00155,4.864,16000
train/id00155/1YnJddHS5Xc/00006.m4a,id00155,5.888,16000
train/id00155/1YnJddHS5Xc/00007.m4a,id00155,7.616,16000
train/id00155/1YnJddHS5Xc/00008.m4a,id00155,14.528,16000
train/id00155/1YnJddHS5Xc/00009.m4a,id00155,4.096,16000
train/id00155/1YnJddHS5Xc/00010.m4a,id00155,4.096,16000
train/id00155/1YnJddHS5Xc/00011.m4a,id00155,11.008,16000
train/id00155/3oC8vHeFEE8/00012.m4a,id00155,7.04,16000
train/id00155/3oC8vHeFEE8/00013.m4a,id00155,4.48,16000
train/id00155/3oC8vHeFEE8/00014.m4a,id00155,4.224,16000
train/id00155/3oC8vHeFEE8/00015.m4a,id00155,4.352,16000
train/id00155/3oC8vHeFEE8/00016.m4a,id00155,7.488,16000
train/id00155/43GPtRnS0Qs/00017.m4a,id00155,4.096,16000
train/id00155/43GPtRnS0Qs/00018.m4a,id00155,5.056,16000
train/id00155/43GPtRnS0Qs/00019.m4a,id00155,3.968,16000
train/id00155/43GPtRnS0Qs/00020.m4a,id00155,3.968,16000
train/id00155/43GPtRnS0Qs/00021.m4a,id00155,4.928,16000
train/id00155/43GPtRnS0Qs/00022.m4a,id00155,15.552,16000
train/id00155/43GPtRnS0Qs/00023.m4a,id00155,9.472,16000
train/id00155/43GPtRnS0Qs/00024.m4a,id00155,10.304,16000
train/id00155/6NFL_mUaREU/00025.m4a,id00155,6.848,16000
train/id00155/6NFL_mUaREU/00026.m4a,id00155,7.424,16000
train/id00155/6PFCXemcUa0/00027.m4a,id00155,6.144,16000
train/id00155/6PFCXemcUa0/00028.m4a,id00155,9.728,16000
train/id00155/6PFCXemcUa0/00029.m4a,id00155,5.696,16000
train/id00155/6PFCXemcUa0/00030.m4a,id00155,6.656,16000
train/id00155/6PFCXemcUa0/00031.m4a,id00155,5.44,16000
train/id00155/6PFCXemcUa0/00032.m4a,id00155,5.248,16000
train/id00155/ALNik3L8OIM/00033.m4a,id00155,10.048,16000
train/id00155/AU0NlM7iKps/00034.m4a,id00155,6.08,16000
train/id00155/CbXyL8UgKUQ/00035.m4a,id00155,6.016,16000
train/id00155/CbXyL8UgKUQ/00036.m4a,id00155,6.464,16000
train/id00155/CbXyL8UgKUQ/00037.m4a,id00155,3.968,16000
train/id00155/CbXyL8UgKUQ/00038.m4a,id00155,4.928,16000
train/id00155/CbXyL8UgKUQ/00039.m4a,id00155,5.824,16000
train/id00155/cGDR11W_iPY/00063.m4a,id00155,13.632,16000
train/id00155/DmzFQrXPBks/00040.m4a,id00155,3.968,16000
